,0,adin_predicted,blue_lakes_predicted,cedar_pass_predicted,css_lab_predicted,dismal_swamp_predicted,ebbetts_pass_predicted,echo_peak_predicted,fallen_leaf_predicted,hagans_meadow_predicted,heavenly_valley_predicted,independence_camp_predicted,independence_creek_predicted,independence_lake_predicted,leavitt_lake_predicted,leavitt_meadows_predicted,lobdell_lake_predicted,monitor_pass_predicted,poison_flat_predicted,rubicon_2_predicted,sonora_pass_predicted,spratt_creek_predicted,palisades_tahoe_predicted,tahoe_city_cross_predicted,truckee_2_predicted,virginia_lakes_ridge_predicted,ward_creek_3_predicted,adin,blue_lakes,burnside_lake,carson_pass,cedar_pass,css_lab,dismal_swamp,ebbetts_pass,echo_peak,fallen_leaf,hagans_meadow,heavenly_valley,independence_camp,independence_creek,independence_lake,leavitt_lake,leavitt_meadows,lobdell_lake,monitor_pass,poison_flat,rubicon_2,sonora_pass,spratt_creek,palisades_tahoe,tahoe_city_cross,truckee_2,virginia_lakes_ridge,ward_creek_3
1985-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.200000000000001,61.5,0.0,74.6,21.400000000000002,40.2,33.9,62.7,97.89999999999999,14.4,39.800000000000004,48.0,19.8,21.2,12.9,53.0,50.6,37.800000000000004,8.4,44.9,56.8,55.5,45.1,60.199999999999996,26.3,25.900000000000002,100.7,60.2
1985-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,170.8,106.1,272.4,109.9,206.6,155.7,193.2,260.9,34.7,130.5,141.3,96.8,119.0,100.4,184.1,135.1,117.9,33.6,129.1,167.9,157.4,134.5,237.4,119.8,99.7,220.70000000000002,256.0
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.4,471.3,315.0,416.6,300.6,639.6,392.7,566.0,647.9,196.2,284.0,323.8,293.5,300.3,353.1,292.2,343.5,254.2,78.39999999999999,324.7,429.3,419.1,323.7,605.3000000000001,355.2,254.1,402.3,695.6
1986-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,618.2,636.1,828.0,374.0,876.6,478.4,749.8,871.8000000000001,439.2,367.9,430.5,413.9,427.1,511.1,421.1,418.40000000000003,292.6,104.7,398.4,599.6,514.1,424.3,813.4,509.0,423.0,461.5,962.1
1986-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.90000000000003,825.3,680.6,902.6,532.3,1382.7,712.7,972.2,1281.3,727.0,581.4,669.4000000000001,685.4,753.9,815.9,590.1,720.3,480.6,112.1,616.1,904.4,679.2,699.6,1194.0,808.5,698.6,648.9,1501.8
1986-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.9,1332.4,941.9,1200.6,912.2,2365.0,1242.7,1556.8,2125.9,1083.0,1026.4,1176.8,1262.6,1411.0,1388.9,791.6,1269.8,930.1,310.0,1138.5,1590.4,1172.8,1279.8,2157.7,1362.8,1227.8,1092.7,2579.8
1986-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.7,1385.7,940.1,1383.2,1012.3,2467.7,1341.9,1676.3,2174.0,1092.8,1074.5,1244.4,1324.0,1474.2,1520.2,856.8,1262.1000000000001,993.2,410.4,1182.2,1647.2,1244.7,1310.8,2190.4,1408.6,1267.4,1135.0,2652.5
1986-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.6,1468.7,980.4000000000001,1600.0,1196.7,2644.3,1530.6,1798.4,2293.6,1133.9,1141.5,1326.7,1394.0,1550.4,1617.1,969.2,1318.9,1046.5,445.3,1243.9,1736.2,1311.5,1368.8000000000002,2354.5,1497.8,1317.5,1185.4,2821.4
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132.5,1434.0,960.1,1652.4,1217.7,2571.0,1520.6000000000001,1777.4,2227.6,1101.6000000000001,1124.1,1301.3,1368.5,1521.0,1590.0,1013.0,1299.0,1015.5999999999999,438.59999999999997,1215.0,1704.0,1280.4,1328.5,2281.4,1478.7,1275.0,1158.2,2752.9
1986-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.4,1491.0,997.7,1726.7,1261.0,2656.7000000000003,1572.3000000000002,1849.1,2315.4,1141.8,1185.3,1356.8,1419.8,1577.8999999999999,1652.3,1096.8999999999999,1349.5,1055.7,461.2,1256.9,1760.8,1329.3,1379.6,2359.7,1536.1,1317.5,1204.5,2846.7999999999997
1986-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.8,1519.0,1007.5,1731.3,1267.8999999999999,2659.8,1577.8999999999999,1882.8,2343.6,1158.7,1187.3,1379.5,1424.7,1577.8999999999999,1652.3,1161.4,1378.1,1076.2,480.7,1267.3999999999999,1760.8,1352.8,1398.1000000000001,2365.2999999999997,1556.3,1317.5,1223.1,2852.0
1986-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,1486.5,975.0,1685.1,1256.8,2636.0,1583.1,1844.7,2319.7,1133.7,1155.8999999999999,1349.9,1391.0,1543.3999999999999,1622.3999999999999,1143.5,1363.6,1064.3999999999999,496.09999999999997,1250.7,1725.3999999999999,1331.7,1359.9,2321.5,1521.3999999999999,1288.0,1200.5,2800.3
1986-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,0.0,92.7,10.700000000000001,10.6,23.9,7.9,25.8,16.4,8.8,5.800000000000001,8.0,10.1,4.1000000000000005,0.2,18.5,13.9,18.599999999999998,18.2,44.6,1.2000000000000002,11.9,0.0,8.1,11.100000000000001,4.1000000000000005,13.3,6.7
1986-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,2.5,252.8,70.9,73.89999999999999,58.9,104.6,30.0,36.800000000000004,14.4,8.1,12.700000000000001,25.1,9.0,11.700000000000001,83.89999999999999,20.9,26.1,121.7,48.2,6.800000000000001,15.4,1.5,35.300000000000004,13.0,16.4,15.0,24.9
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,33.5,389.09999999999997,343.7,140.3,126.0,201.4,80.2,93.3,39.8,27.1,37.4,49.0,33.3,54.6,161.0,33.7,40.4,186.9,73.8,38.6,39.699999999999996,40.2,89.8,36.2,41.4,26.7,84.5
1987-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.2,157.5,724.8,860.8,235.7,322.2,357.6,235.8,260.5,137.8,110.1,140.2,117.3,118.7,177.5,215.2,105.3,116.5,230.2,155.2,162.3,138.9,101.2,246.2,125.8,124.39999999999999,124.5,261.8
1987-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4,281.7,780.1,933.5,312.3,522.5,479.3,386.5,427.3,248.6,182.70000000000002,235.4,226.2,215.8,294.1,223.7,175.3,173.0,250.3,230.4,274.0,241.5,180.5,391.9,215.8,219.5,192.3,466.9
1987-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.5,492.5,1030.6,1359.0,477.3,862.3,737.7,609.3,695.1,403.2,317.1,417.1,406.1,397.7,515.0,714.3,300.3,289.7,324.2,380.7,457.0,398.7,318.5,644.4,384.7,384.6,308.4,813.0
1987-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.1,560.4,1226.4,1680.1,554.5,965.0,861.3,692.6,763.1999999999999,445.2,358.1,489.8,480.8,460.7,579.6,974.9,335.8,335.2,336.0,438.9,517.1,443.6,368.9,714.2,447.40000000000003,431.40000000000003,348.09999999999997,910.0
1987-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.40000000000003,644.0,1384.2,1849.5,642.7,1059.0,973.2,807.4,827.0,483.6,408.3,553.9,521.2,497.7,638.2,1095.5,399.4,409.9,347.2,519.0,560.7,509.1,427.8,795.3,483.2,468.8,399.1,991.7
1987-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,683.0,1415.9,1824.0,733.0,1056.1,1018.9,883.4,830.3,494.6,436.8,572.6,525.0,499.2,646.6,1104.0,433.5,471.1,351.9,555.8,593.5,530.5,454.4,807.3,490.3,468.8,429.1,976.1
1987-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.3000000000001,717.4,1488.9,1885.1999999999998,829.9,1101.7,1125.6999999999998,932.5,864.1,519.2,461.90000000000003,604.5,550.1,519.1,684.1999999999999,1164.0,459.7,502.0,399.0,588.5,629.3000000000001,554.8,489.7,847.7,539.9,486.7,457.6,1013.1000000000001
1987-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.8000000000001,719.1999999999999,1498.4,1899.1,883.5,1106.7,1192.3,944.6999999999999,864.9,520.8000000000001,461.90000000000003,604.8,551.8000000000001,520.8000000000001,691.3000000000001,1178.4,469.3,502.2,401.5,598.3000000000001,629.3000000000001,559.5,493.40000000000003,851.3,542.5,486.7,465.9,1013.7
1987-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,701.5,1459.4,1841.7,855.0,1071.0,1155.0,928.1,837.0,504.0,447.0,588.0,534.0,504.0,669.0,1187.2,460.8,487.8,410.4,587.9,609.0,557.0,483.8,830.4,525.0,471.0,453.0,981.0000000000001
1987-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8000000000000003,12.8,62.1,25.400000000000002,1.0,26.2,0.30000000000000004,10.3,16.4,10.0,12.6,8.9,10.0,9.6,17.7,37.1,11.3,8.1,21.3,14.1,14.6,16.400000000000002,9.4,18.2,19.6,8.8,2.8,13.3
1987-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,98.8,74.2,107.1,36.4,123.4,51.3,112.0,103.10000000000001,51.4,73.0,91.0,50.6,50.1,65.3,238.5,86.7,67.4,45.2,81.2,75.8,105.7,53.5,114.2,68.3,49.3,72.7,97.1
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7,252.0,346.1,220.4,157.3,414.1,271.0,281.3,351.0,154.8,185.8,196.9,173.3,183.7,236.4,354.6,175.1,129.9,156.4,175.8,220.3,215.5,138.1,403.8,197.6,153.4,152.0,391.2
1988-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.8,566.1,802.6,355.8,337.2,789.5,512.6,629.9,666.8,304.6,337.90000000000003,363.3,361.4,356.1,474.0,460.9,307.6,237.4,431.4,356.6,442.6,429.7,317.6,731.2,398.3,315.4,304.1,748.5
1988-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5,597.0,884.4,449.5,390.5,865.5,590.1999999999999,661.8,694.9,319.0,348.8,374.1,393.0,384.8,513.0,564.4,325.0,256.0,530.1,376.4,474.2,453.0,341.40000000000003,770.1,430.6,353.29999999999995,342.40000000000003,817.2
1988-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.5,685.8,1220.8,678.6,484.40000000000003,981.8,724.4,756.4,794.4,354.0,403.2,420.9,428.0,421.4,576.7,851.0,387.0,304.0,701.7,429.40000000000003,541.3,519.4,378.09999999999997,869.2,488.6,388.4,403.2,904.4
1988-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.8,703.5,1493.8,714.6,573.4,997.8,828.6,777.0,816.9,363.8,408.0,428.5,437.2,423.0,598.8,885.7,402.1,316.2,744.7,443.0,546.9,523.7,384.2,897.0,491.3,397.7,414.4,937.9
1988-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.8000000000001,803.2,1642.8000000000002,813.5,764.5,1128.5,1073.5,896.6,926.6,396.6,455.0,489.1,497.4,475.2,676.3,926.8000000000001,455.6,364.9,782.9,492.7,608.9,586.1,434.1,1021.3,545.8000000000001,448.40000000000003,448.5,1056.0
1988-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.4,821.9,1611.0,799.4,823.8,1217.2,1135.2,949.1,961.5,418.6,473.3,522.6,550.0,504.9,715.0,936.1999999999999,485.0,387.3,787.6,522.2,657.6999999999999,617.1,451.8,1086.9,584.3,470.1,465.1,1124.3
1988-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.9,852.5,1666.0,829.9,866.6,1265.8,1183.0,989.1999999999999,1004.4,448.0,499.0,547.7,592.1,537.0,750.1999999999999,1070.1,522.5,407.9,827.6999999999999,552.0,699.0,654.4,468.7,1136.1,616.9,492.90000000000003,496.1,1172.0
1988-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.7,858.4,1681.6999999999998,837.7,902.7,1278.0,1189.3,1001.5999999999999,1012.9000000000001,455.4,532.3,554.1999999999999,593.1,548.6999999999999,754.3,1131.7,558.5,439.0,827.6999999999999,568.9,703.6999999999999,686.0,506.1,1172.9,616.9,492.90000000000003,502.1,1177.5
1988-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.2,857.1,1629.0,801.1,882.8,1240.8999999999999,1166.1,988.6,981.0000000000001,441.0,528.5,537.0,585.4,532.1,744.1,1112.4,570.7,453.8,802.8,573.8000000000001,681.0,686.8,509.40000000000003,1142.4,597.0,477.0,496.8,1140.0
1988-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28.3,37.2,0.0,5.9,1.9000000000000001,1.2000000000000002,0.4,0.0,0.0,0.0,8.6,8.0,4.9,23.9,0.0,0.0,31.8,0.0,3.6,0.2,2.0,3.4000000000000004,0.0,7.5,0.0,0.0
1988-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,95.4,98.3,75.2,119.9,233.4,217.0,126.39999999999999,191.1,86.6,68.4,71.8,115.39999999999999,124.9,143.1,163.20000000000002,55.3,54.2,59.400000000000006,61.4,126.3,80.5,69.0,253.0,101.2,102.10000000000001,37.5,261.4
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.3,311.1,207.1,169.3,312.8,632.0,488.7,391.8,529.4,279.3,234.8,240.9,342.7,374.0,385.1,405.6,181.2,168.7,112.5,226.3,357.0,255.3,224.4,621.8,314.7,292.9,167.7,710.3
1989-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.7,511.6,341.8,450.6,498.3,933.5,765.7,636.0999999999999,787.5,419.4,359.6,386.1,479.9,535.2,596.3,973.4,301.6,268.4,139.4,388.6,529.1,429.59999999999997,341.8,833.9,466.59999999999997,433.5,323.4,1024.1
