0,adin_predicted,blue_lakes_predicted,cedar_pass_predicted,css_lab_predicted,dismal_swamp_predicted,ebbetts_pass_predicted,echo_peak_predicted,fallen_leaf_predicted,hagans_meadow_predicted,heavenly_valley_predicted,independence_camp_predicted,independence_creek_predicted,independence_lake_predicted,leavitt_lake_predicted,leavitt_meadows_predicted,lobdell_lake_predicted,monitor_pass_predicted,poison_flat_predicted,rubicon_2_predicted,sonora_pass_predicted,spratt_creek_predicted,palisades_tahoe_predicted,tahoe_city_cross_predicted,truckee_2_predicted,virginia_lakes_ridge_predicted,ward_creek_3_predicted
2021-10-01,62.567654,,47.897205,117.77104,153.57251,,,9.001171,27.764841,19.916779,71.36166,33.422333,78.4274,369.51065,2.9696674,61.013504,82.039085,0.0,107.7335,68.247406,,493.23602,24.991385,17.644402,55.36005,73.5966
2021-11-01,123.180244,,142.93463,268.68604,290.68753,,,60.997555,154.89287,213.1193,142.56328,133.4642,413.59723,623.4039,112.07078,184.10233,99.05307,101.82457,268.92252,189.52556,,703.4145,140.28795,90.79185,158.01707,308.8266
2021-12-01,184.63011,,227.64713,473.83023,439.7143,,,99.53411,266.70062,431.9207,229.03246,211.95035,735.31226,980.60944,211.47116,345.16193,179.27852,230.44173,469.26892,385.28296,,1028.9128,249.36761,197.47539,280.70514,527.7094
2022-01-01,240.41855,,284.49167,675.0082,577.80176,,,136.80151,373.9554,611.26965,307.84207,259.96283,1042.4326,1181.6663,271.4743,509.8066,278.58124,328.40265,650.4594,566.47345,,1315.7126,342.67557,284.0093,391.73535,698.47107
2022-02-01,304.71756,,357.43634,927.7242,769.508,,,184.92322,515.44183,825.72906,414.75284,353.00012,1360.5596,1518.6302,351.55798,673.83984,428.61713,427.94766,832.19934,772.7861,,1586.1666,443.64023,377.4182,564.2634,909.36163
2022-03-01,351.46713,,397.37686,1055.0533,871.2458,,,213.48793,606.18677,930.9852,489.36832,390.04074,1511.8151,1605.7599,391.90625,782.41974,545.7771,468.7484,892.90015,855.78455,,1698.0964,503.73154,433.9475,640.8173,959.658
2022-04-01,377.62982,,433.6578,1095.8103,928.37524,,,215.08943,629.56635,947.6208,496.9365,377.47806,1551.0071,1659.0227,387.3211,827.9237,618.6119,476.19983,869.9007,856.4912,,1656.0968,522.5426,452.2344,668.02386,898.2738
2022-05-01,409.39966,,496.52432,1268.6675,1031.9928,,,225.92981,716.19635,1019.7056,544.9023,415.11487,1740.1307,1789.9663,422.91483,826.10297,639.3269,503.19345,965.2632,950.5744,,1727.8816,555.031,504.975,778.2351,971.3373
2022-06-01,452.32764,,568.2416,1356.4497,1185.9581,,,234.5053,784.0975,1120.4899,569.32086,443.70822,1936.3696,1900.8796,432.53433,894.08026,616.97076,555.28076,1034.909,1003.7534,,1707.8796,559.8084,525.9946,844.1124,1014.08746
2022-07-01,456.50778,,571.76855,1384.8468,1209.8776,,,239.60014,799.90533,1047.8563,571.2012,442.74655,2037.5807,1837.0287,417.8603,942.87933,538.49225,544.4851,1010.8363,974.2395,,1583.1233,555.26526,508.8711,824.2537,977.7207
2022-08-01,426.60086,,481.3981,1273.307,1130.8452,,,222.60033,721.2745,817.0163,545.1016,392.09592,1836.3269,1493.3622,363.87653,964.50037,406.82916,448.97015,849.26544,811.8088,,1315.7859,524.7562,436.20676,709.14496,837.238
2022-09-01,33.833275,,37.25882,600.5641,0.0,,,14.884081,0.0,143.35739,94.97783,112.061676,218.68085,813.18744,134.62111,0.0,200.89925,162.53578,301.99673,308.96213,,727.26196,45.291065,185.78116,268.14386,292.78204
2022-10-01,11.211611,,9.181598,205.6001,120.06342,,,13.008478,5.596937,0.0,94.09829,44.96037,0.0,396.77277,29.915354,89.13737,86.138954,0.0,49.87831,3.129965,,364.00793,29.156334,24.591785,28.649622,53.316525
2022-11-01,71.44924,,97.33474,383.60092,218.57376,,,73.88263,89.60455,126.81045,211.27621,161.83148,364.62128,745.255,143.36127,205.18008,90.36071,96.91805,251.2211,107.330956,,536.9976,157.07745,114.903,133.66782,241.67584
2022-12-01,111.16062,,168.4953,680.48175,341.62802,,,105.46913,149.12213,377.8281,358.0634,257.30316,640.8457,1130.7313,222.7059,398.6565,163.14124,204.08313,441.36896,247.16684,,778.84033,276.54416,224.11179,256.83182,368.36157
2023-01-01,141.28967,,213.74551,887.6117,433.69016,,,114.11831,180.50027,549.6615,438.7059,291.04678,853.46484,1314.5754,232.25864,538.17633,230.93834,271.31708,511.44263,332.35373,,928.17444,344.77942,261.9185,347.44058,405.16632
2023-02-01,186.27379,,282.72598,1093.3809,575.925,,,123.217804,236.56764,737.0948,483.81277,331.77716,1110.7167,1507.7316,239.6039,610.7212,305.13174,302.8008,549.0717,414.1189,,1049.2821,371.36545,275.35934,483.55374,443.5914
2023-03-01,214.70354,,307.72968,1070.6781,629.61005,,,131.52486,250.89981,757.985,463.9252,332.2057,1241.4978,1485.5151,231.03217,586.9298,311.28888,284.10333,466.91306,407.69266,,1066.6814,367.73068,251.95863,531.1552,402.7209
2023-04-01,237.07916,,338.15308,932.2119,653.19525,,,131.16531,250.9935,721.27734,435.54337,335.3358,1273.878,1411.7623,217.3231,543.1606,309.05307,255.06284,338.19223,365.15204,,1002.9372,367.4687,238.85098,513.2701,360.61728
2023-05-01,268.2713,,405.53677,995.59033,727.68945,,,135.46684,295.801,771.5301,430.5657,359.52063,1452.1765,1374.2059,227.98062,528.22186,318.73804,250.8972,385.34604,395.57394,,998.4148,384.14072,264.01328,561.1903,390.84204
